ID,Predicted Value
1,1.0
2,4.0
3,5.0
4,4.0
5,4.0
6,5.0
7,5.0
8,5.0
9,5.0
10,5.0
11,4.0
12,5.0
13,4.0
14,1.0
15,5.0
16,5.0
17,5.0
18,5.0
19,5.0
20,4.0
21,5.0
22,1.0
23,5.0
24,5.0
25,4.0
26,1.0
27,5.0
28,5.0
29,1.0
30,4.0
31,5.0
32,5.0
33,5.0
34,4.0
35,4.0
36,4.0
37,5.0
38,5.0
39,4.0
40,1.0
41,1.0
42,5.0
43,5.0
44,5.0
45,1.0
46,5.0
47,1.0
48,5.0
49,1.0
50,4.0
51,5.0
52,5.0
53,1.0
54,4.0
55,5.0
56,5.0
57,1.0
58,4.0
59,3.0
60,5.0
61,5.0
62,3.0
63,5.0
64,5.0
65,1.0
66,5.0
67,4.0
68,4.0
69,1.0
70,5.0
71,1.0
72,5.0
73,5.0
74,5.0
75,1.0
76,5.0
77,5.0
78,4.0
79,5.0
80,5.0
81,4.0
82,4.0
83,1.0
84,5.0
85,5.0
86,5.0
87,5.0
88,4.0
89,5.0
90,5.0
91,5.0
92,5.0
93,4.0
94,5.0
95,5.0
96,5.0
97,5.0
98,4.0
99,1.0
100,1.0
101,4.0
102,5.0
103,4.0
104,4.0
105,5.0
106,1.0
107,5.0
108,5.0
109,4.0
110,5.0
111,5.0
112,1.0
113,4.0
114,4.0
115,5.0
116,1.0
117,5.0
118,5.0
119,1.0
120,4.0
121,5.0
122,4.0
123,1.0
124,4.0
125,5.0
126,4.0
127,5.0
128,4.0
129,5.0
130,4.0
131,4.0
132,5.0
133,5.0
134,5.0
135,4.0
136,5.0
137,1.0
138,4.0
139,4.0
140,5.0
141,5.0
142,4.0
143,4.0
144,4.0
145,5.0
146,4.0
147,1.0
148,4.0
149,5.0
150,3.0
151,5.0
152,1.0
153,1.0
154,5.0
155,5.0
156,1.0
157,4.0
158,1.0
159,1.0
160,1.0
161,4.0
162,1.0
163,4.0
164,4.0
165,3.0
166,1.0
167,1.0
168,5.0
169,5.0
170,1.0
171,3.0
172,5.0
173,4.0
174,1.0
175,5.0
176,5.0
177,4.0
178,4.0
179,5.0
180,5.0
181,5.0
182,4.0
183,5.0
184,5.0
185,4.0
186,5.0
187,4.0
188,1.0
189,4.0
190,4.0
191,5.0
192,3.0
193,5.0
194,5.0
195,5.0
196,4.0
197,5.0
198,5.0
199,1.0
200,4.0
201,4.0
202,5.0
203,5.0
204,5.0
205,5.0
206,4.0
207,1.0
208,5.0
209,5.0
210,5.0
211,5.0
212,5.0
213,5.0
214,5.0
215,4.0
216,5.0
217,5.0
218,4.0
219,5.0
220,4.0
221,5.0
222,5.0
223,4.0
224,4.0
225,5.0
226,5.0
227,5.0
228,1.0
229,4.0
230,5.0
231,4.0
232,5.0
233,5.0
234,5.0
235,1.0
236,1.0
237,5.0
238,4.0
239,5.0
240,4.0
241,5.0
242,4.0
243,5.0
244,4.0
245,1.0
246,5.0
247,5.0
248,1.0
249,1.0
250,5.0
251,5.0
252,5.0
253,5.0
254,5.0
255,1.0
256,1.0
257,1.0
258,5.0
259,5.0
260,5.0
261,5.0
262,5.0
263,5.0
264,1.0
265,1.0
266,1.0
267,5.0
268,4.0
269,5.0
270,4.0
271,1.0
272,5.0
273,1.0
274,4.0
275,4.0
276,4.0
277,4.0
278,5.0
279,4.0
280,1.0
281,4.0
282,5.0
283,5.0
284,1.0
285,1.0
286,5.0
287,5.0
288,4.0
289,5.0
290,5.0
291,5.0
292,4.0
293,5.0
294,5.0
295,5.0
296,4.0
297,4.0
298,5.0
299,1.0
300,5.0
301,4.0
302,5.0
303,4.0
304,5.0
305,4.0
306,5.0
307,4.0
308,3.0
309,1.0
310,1.0
311,1.0
312,5.0
313,4.0
314,5.0
315,5.0
316,4.0
317,5.0
318,5.0
319,4.0
320,5.0
321,5.0
322,5.0
323,5.0
324,4.0
325,5.0
326,3.0
327,5.0
328,5.0
329,4.0
330,1.0
331,1.0
332,5.0
333,4.0
334,4.0
335,4.0
336,5.0
337,5.0
338,4.0
339,1.0
340,4.0
341,4.0
342,5.0
343,5.0
344,4.0
345,5.0
346,4.0
347,5.0
348,4.0
349,4.0
350,4.0
351,1.0
352,4.0
353,5.0
354,5.0
355,5.0
356,5.0
357,5.0
358,4.0
359,4.0
360,4.0
361,5.0
362,5.0
363,4.0
364,5.0
365,5.0
366,5.0
367,5.0
368,1.0
369,5.0
370,4.0
371,4.0
372,1.0
373,5.0
374,4.0
375,5.0
376,4.0
377,5.0
378,5.0
379,4.0
380,5.0
381,5.0
382,4.0
383,1.0
384,5.0
385,5.0
386,4.0
387,4.0
388,5.0
389,5.0
390,5.0
391,3.0
392,5.0
393,4.0
394,4.0
395,5.0
396,5.0
397,5.0
398,5.0
399,5.0
400,5.0
401,1.0
402,5.0
403,5.0
404,1.0
405,5.0
406,4.0
407,5.0
408,4.0
409,3.0
410,1.0
411,5.0
412,1.0
413,4.0
414,1.0
415,5.0
416,5.0
417,5.0
418,1.0
419,5.0
420,5.0
421,1.0
422,5.0
423,5.0
424,4.0
425,5.0
426,3.0
427,4.0
428,4.0
429,4.0
430,4.0
431,5.0
432,5.0
433,5.0
434,4.0
435,5.0
436,5.0
437,5.0
438,4.0
439,1.0
440,5.0
441,5.0
442,5.0
443,5.0
444,5.0
445,5.0
446,5.0
447,5.0
448,5.0
449,4.0
450,1.0
451,5.0
452,5.0
453,4.0
454,4.0
455,4.0
456,5.0
457,4.0
458,1.0
459,4.0
460,3.0
461,5.0
462,1.0
463,5.0
464,5.0
465,4.0
466,4.0
467,5.0
468,5.0
469,5.0
470,4.0
471,1.0
472,4.0
473,5.0
474,5.0
475,5.0
476,5.0
477,4.0
478,4.0
479,3.0
480,5.0
481,5.0
482,3.0
483,4.0
484,5.0
485,1.0
486,4.0
487,3.0
488,5.0
489,5.0
490,4.0
491,5.0
492,5.0
493,4.0
494,1.0
495,4.0
496,4.0
497,4.0
498,4.0
499,1.0
500,4.0
501,5.0
502,1.0
503,4.0
504,1.0
505,5.0
506,1.0
507,5.0
508,5.0
509,4.0
510,4.0
511,5.0
512,5.0
513,4.0
514,4.0
515,5.0
516,5.0
517,4.0
518,5.0
519,5.0
520,1.0
521,1.0
522,5.0
523,5.0
524,5.0
525,3.0
526,4.0
527,1.0
528,5.0
529,5.0
530,5.0
531,4.0
532,5.0
533,5.0
534,5.0
535,5.0
536,4.0
537,5.0
538,5.0
539,4.0
540,5.0
541,5.0
542,5.0
543,5.0
544,5.0
545,5.0
546,5.0
547,5.0
548,1.0
549,4.0
550,5.0
551,5.0
552,1.0
553,5.0
554,5.0
555,5.0
556,4.0
557,5.0
558,4.0
559,5.0
560,5.0
561,5.0
562,5.0
563,1.0
564,1.0
565,4.0
566,1.0
567,5.0
568,4.0
569,4.0
570,4.0
571,5.0
572,5.0
573,5.0
574,5.0
575,4.0
576,5.0
577,5.0
578,5.0
579,5.0
580,5.0
581,5.0
582,5.0
583,5.0
584,1.0
585,5.0
586,5.0
587,5.0
588,5.0
589,1.0
590,4.0
591,1.0
592,4.0
593,5.0
594,5.0
595,4.0
596,4.0
597,5.0
598,1.0
599,2.0
600,4.0
601,5.0
602,1.0
603,5.0
604,1.0
605,1.0
606,5.0
607,1.0
608,5.0
609,4.0
610,5.0
611,1.0
612,4.0
613,5.0
614,1.0
615,5.0
616,1.0
617,5.0
618,5.0
619,5.0
620,5.0
621,4.0
622,5.0
623,5.0
624,4.0
625,5.0
626,5.0
627,4.0
628,4.0
629,4.0
630,3.0
631,4.0
632,5.0
633,5.0
634,5.0
635,5.0
636,1.0
637,5.0
638,4.0
639,5.0
640,1.0
641,4.0
642,4.0
643,5.0
644,5.0
645,1.0
646,1.0
647,1.0
648,4.0
649,5.0
650,5.0
651,1.0
652,5.0
653,5.0
654,5.0
655,5.0
656,5.0
657,4.0
658,3.0
659,5.0
660,5.0
661,5.0
662,5.0
663,5.0
664,5.0
665,5.0
666,5.0
667,1.0
668,1.0
669,5.0
670,5.0
671,4.0
672,4.0
673,1.0
674,4.0
675,5.0
676,5.0
677,4.0
678,3.0
679,5.0
680,4.0
681,4.0
682,5.0
683,1.0
684,5.0
685,1.0
686,4.0
687,5.0
688,1.0
689,5.0
690,1.0
691,5.0
692,4.0
693,5.0
694,5.0
695,5.0
696,5.0
697,1.0
698,5.0
699,5.0
700,4.0
701,1.0
702,3.0
703,4.0
704,4.0
705,5.0
706,5.0
707,1.0
